==============================================
RELATÓRIO COMPLETO DO WIZARD
DATA: 16-02-2026
==============================================

Nota: Para jogos de 15 dezenas, a média esperada por acaso é ~9 acertos.
O foco aqui é tentar aumentar a ocorrência de 11/12+ (cauda), além do alvo 14/15.

------------ BACKTEST — MODO AGRESSIVO ------------
========================================================
BACKTEST — MODO AGRESSIVO
========================================================

Recorte analisado: últimos 501 concursos

Ranking PRINCIPAL (ALVO 14/15):
Prioridade: (qtd_14plus) > score_alvo > 13+ > max > média
score_alvo = 100*(15) + 40*(14) + 10*(13) + 2*(12) + 0*(11)

 jogo  qtd_14plus  prob_14plus  prob_15  score_alvo  score_alvo_por100  score_13plus  media_acertos  max_acertos  min_acertos  11.0  12.0  13.0  14.0  15.0
   49           1       0.1996      0.0          80            15.9681             3         9.0080           14            6    43    10     2     1     0
   46           0       0.0000      0.0          68            13.5729             4         9.0758           13            6    47    14     4     0     0
   48           0       0.0000      0.0          38             7.5848             1         9.0379           13            6    44    14     1     0     0
   14           0       0.0000      0.0          28             5.5888             1         8.9281           13            5    34     9     1     0     0
   51           0       0.0000      0.0          26             5.1896             0         9.0878           12            5    46    13     0     0     0
   16           0       0.0000      0.0          26             5.1896             0         9.0719           12            6    46    13     0     0     0
   22           0       0.0000      0.0          26             5.1896             0         9.0419           12            5    56    13     0     0     0
   33           0       0.0000      0.0          26             5.1896             0         9.0180           12            5    46    13     0     0     0
   17           0       0.0000      0.0          24             4.7904             0         9.0858           12            5    54    12     0     0     0
   20           0       0.0000      0.0          24             4.7904             0         9.0379           12            6    41    12     0     0     0
   44           0       0.0000      0.0          24             4.7904             0         8.9940           12            6    45    12     0     0     0
   42           0       0.0000      0.0          24             4.7904             0         8.9281           12            5    36    12     0     0     0
   47           0       0.0000      0.0          22             4.3912             1         8.9341           13            5    36     6     1     0     0
   18           0       0.0000      0.0          22             4.3912             0         9.0579           12            6    46    11     0     0     0
   39           0       0.0000      0.0          22             4.3912             0         8.9980           12            6    51    11     0     0     0
   27           0       0.0000      0.0          22             4.3912             0         8.9940           12            6    51    11     0     0     0
   11           0       0.0000      0.0          22             4.3912             0         8.9421           12            5    31    11     0     0     0
   19           0       0.0000      0.0          20             3.9920             0         9.1138           12            6    45    10     0     0     0
   15           0       0.0000      0.0          20             3.9920             0         9.1038           12            6    55    10     0     0     0
   10           0       0.0000      0.0          20             3.9920             0         9.0060           12            5    40    10     0     0     0
   38           0       0.0000      0.0          20             3.9920             0         8.9780           12            6    49    10     0     0     0
    9           0       0.0000      0.0          20             3.9920             0         8.9701           12            6    41    10     0     0     0
   12           0       0.0000      0.0          20             3.9920             0         8.9202           12            6    41    10     0     0     0
   52           0       0.0000      0.0          18             3.5928             0         9.0898           12            6    45     9     0     0     0
   26           0       0.0000      0.0          18             3.5928             0         9.0559           12            5    55     9     0     0     0
    7           0       0.0000      0.0          18             3.5928             0         9.0160           12            6    42     9     0     0     0
   30           0       0.0000      0.0          18             3.5928             0         9.0080           12            5    47     9     0     0     0
   23           0       0.0000      0.0          18             3.5928             0         8.9900           12            5    46     9     0     0     0
   29           0       0.0000      0.0          18             3.5928             0         8.9900           12            6    45     9     0     0     0
   28           0       0.0000      0.0          16             3.1936             0         9.0379           12            6    37     8     0     0     0
   35           0       0.0000      0.0          16             3.1936             0         9.0160           12            6    49     8     0     0     0
   32           0       0.0000      0.0          16             3.1936             0         9.0020           12            5    50     8     0     0     0
    4           0       0.0000      0.0          16             3.1936             0         8.9900           12            5    46     8     0     0     0
   13           0       0.0000      0.0          16             3.1936             0         8.9661           12            6    37     8     0     0     0
   43           0       0.0000      0.0          16             3.1936             0         8.9162           12            6    41     8     0     0     0
   36           0       0.0000      0.0          16             3.1936             0         8.9082           12            6    43     8     0     0     0
   21           0       0.0000      0.0          14             2.7944             0         9.0878           12            5    46     7     0     0     0
    6           0       0.0000      0.0          14             2.7944             0         9.0838           12            6    52     7     0     0     0
    8           0       0.0000      0.0          14             2.7944             0         9.0519           12            6    52     7     0     0     0
   24           0       0.0000      0.0          14             2.7944             0         9.0240           12            6    46     7     0     0     0
   31           0       0.0000      0.0          14             2.7944             0         8.9721           12            5    42     7     0     0     0
   25           0       0.0000      0.0          12             2.3952             0         9.0639           12            6    48     6     0     0     0
   34           0       0.0000      0.0          12             2.3952             0         9.0299           12            6    49     6     0     0     0
   45           0       0.0000      0.0          12             2.3952             0         8.9940           12            6    51     6     0     0     0
   37           0       0.0000      0.0          12             2.3952             0         8.9840           12            6    44     6     0     0     0
    2           0       0.0000      0.0          10             1.9960             0         9.0200           12            6    44     5     0     0     0
   40           0       0.0000      0.0           8             1.5968             0         8.9860           12            6    53     4     0     0     0
   41           0       0.0000      0.0           4             0.7984             0         9.0080           12            5    50     2     0     0     0
    1           0       0.0000      0.0           0             0.0000             0         9.0579           11            6    56     0     0     0     0
    3           0       0.0000      0.0           0             0.0000             0         8.9920           11            6    50     0     0     0     0
    5           0       0.0000      0.0           0             0.0000             0         8.9621           11            6    45     0     0     0     0
   50           0       0.0000      0.0           0             0.0000             0         8.9301           11            5    45     0     0     0     0

Ranking SECUNDÁRIO (por média):

 jogo  qtd_14plus  prob_14plus  prob_15  score_alvo  score_alvo_por100  score_13plus  media_acertos  max_acertos  min_acertos  11.0  12.0  13.0  14.0  15.0
   19           0       0.0000      0.0          20             3.9920             0         9.1138           12            6    45    10     0     0     0
   15           0       0.0000      0.0          20             3.9920             0         9.1038           12            6    55    10     0     0     0
   52           0       0.0000      0.0          18             3.5928             0         9.0898           12            6    45     9     0     0     0
   51           0       0.0000      0.0          26             5.1896             0         9.0878           12            5    46    13     0     0     0
   21           0       0.0000      0.0          14             2.7944             0         9.0878           12            5    46     7     0     0     0
   17           0       0.0000      0.0          24             4.7904             0         9.0858           12            5    54    12     0     0     0
    6           0       0.0000      0.0          14             2.7944             0         9.0838           12            6    52     7     0     0     0
   46           0       0.0000      0.0          68            13.5729             4         9.0758           13            6    47    14     4     0     0
   16           0       0.0000      0.0          26             5.1896             0         9.0719           12            6    46    13     0     0     0
   25           0       0.0000      0.0          12             2.3952             0         9.0639           12            6    48     6     0     0     0
   18           0       0.0000      0.0          22             4.3912             0         9.0579           12            6    46    11     0     0     0
    1           0       0.0000      0.0           0             0.0000             0         9.0579           11            6    56     0     0     0     0
   26           0       0.0000      0.0          18             3.5928             0         9.0559           12            5    55     9     0     0     0
    8           0       0.0000      0.0          14             2.7944             0         9.0519           12            6    52     7     0     0     0
   22           0       0.0000      0.0          26             5.1896             0         9.0419           12            5    56    13     0     0     0
   48           0       0.0000      0.0          38             7.5848             1         9.0379           13            6    44    14     1     0     0
   20           0       0.0000      0.0          24             4.7904             0         9.0379           12            6    41    12     0     0     0
   28           0       0.0000      0.0          16             3.1936             0         9.0379           12            6    37     8     0     0     0
   34           0       0.0000      0.0          12             2.3952             0         9.0299           12            6    49     6     0     0     0
   24           0       0.0000      0.0          14             2.7944             0         9.0240           12            6    46     7     0     0     0
    2           0       0.0000      0.0          10             1.9960             0         9.0200           12            6    44     5     0     0     0
   33           0       0.0000      0.0          26             5.1896             0         9.0180           12            5    46    13     0     0     0
    7           0       0.0000      0.0          18             3.5928             0         9.0160           12            6    42     9     0     0     0
   35           0       0.0000      0.0          16             3.1936             0         9.0160           12            6    49     8     0     0     0
   49           1       0.1996      0.0          80            15.9681             3         9.0080           14            6    43    10     2     1     0
   30           0       0.0000      0.0          18             3.5928             0         9.0080           12            5    47     9     0     0     0
   41           0       0.0000      0.0           4             0.7984             0         9.0080           12            5    50     2     0     0     0
   10           0       0.0000      0.0          20             3.9920             0         9.0060           12            5    40    10     0     0     0
   32           0       0.0000      0.0          16             3.1936             0         9.0020           12            5    50     8     0     0     0
   39           0       0.0000      0.0          22             4.3912             0         8.9980           12            6    51    11     0     0     0
   44           0       0.0000      0.0          24             4.7904             0         8.9940           12            6    45    12     0     0     0
   27           0       0.0000      0.0          22             4.3912             0         8.9940           12            6    51    11     0     0     0
   45           0       0.0000      0.0          12             2.3952             0         8.9940           12            6    51     6     0     0     0
    3           0       0.0000      0.0           0             0.0000             0         8.9920           11            6    50     0     0     0     0
   23           0       0.0000      0.0          18             3.5928             0         8.9900           12            5    46     9     0     0     0
   29           0       0.0000      0.0          18             3.5928             0         8.9900           12            6    45     9     0     0     0
    4           0       0.0000      0.0          16             3.1936             0         8.9900           12            5    46     8     0     0     0
   40           0       0.0000      0.0           8             1.5968             0         8.9860           12            6    53     4     0     0     0
   37           0       0.0000      0.0          12             2.3952             0         8.9840           12            6    44     6     0     0     0
   38           0       0.0000      0.0          20             3.9920             0         8.9780           12            6    49    10     0     0     0
   31           0       0.0000      0.0          14             2.7944             0         8.9721           12            5    42     7     0     0     0
    9           0       0.0000      0.0          20             3.9920             0         8.9701           12            6    41    10     0     0     0
   13           0       0.0000      0.0          16             3.1936             0         8.9661           12            6    37     8     0     0     0
    5           0       0.0000      0.0           0             0.0000             0         8.9621           11            6    45     0     0     0     0
   11           0       0.0000      0.0          22             4.3912             0         8.9421           12            5    31    11     0     0     0
   47           0       0.0000      0.0          22             4.3912             1         8.9341           13            5    36     6     1     0     0
   50           0       0.0000      0.0           0             0.0000             0         8.9301           11            5    45     0     0     0     0
   14           0       0.0000      0.0          28             5.5888             1         8.9281           13            5    34     9     1     0     0
   42           0       0.0000      0.0          24             4.7904             0         8.9281           12            5    36    12     0     0     0
   12           0       0.0000      0.0          20             3.9920             0         8.9202           12            6    41    10     0     0     0
   43           0       0.0000      0.0          16             3.1936             0         8.9162           12            6    41     8     0     0     0
   36           0       0.0000      0.0          16             3.1936             0         8.9082           12            6    43     8     0     0     0


------------ BACKTEST — MODO CONSERVADOR ------------
========================================================
BACKTEST — MODO CONSERVADOR
========================================================

Recorte analisado: últimos 501 concursos

Ranking PRINCIPAL (ALVO 14/15):
Prioridade: (qtd_14plus) > score_alvo > 13+ > max > média
score_alvo = 100*(15) + 40*(14) + 10*(13) + 2*(12) + 0*(11)

 jogo  qtd_14plus  prob_14plus  prob_15  score_alvo  score_alvo_por100  score_13plus  media_acertos  max_acertos  min_acertos  11.0  12.0  13.0  14.0  15.0
   45           0          0.0      0.0          44             8.7824             0         9.0060           12            6    41    22     0     0     0
   50           0          0.0      0.0          36             7.1856             2         8.9601           13            6    32     8     2     0     0
   49           0          0.0      0.0          32             6.3872             1         9.0080           13            6    42    11     1     0     0
   34           0          0.0      0.0          28             5.5888             0         9.0659           12            6    49    14     0     0     0
   48           0          0.0      0.0          26             5.1896             1         9.0200           13            6    41     8     1     0     0
   52           0          0.0      0.0          26             5.1896             0         9.1317           12            5    45    13     0     0     0
   23           0          0.0      0.0          26             5.1896             0         9.0798           12            6    54    13     0     0     0
   21           0          0.0      0.0          26             5.1896             0         9.0419           12            5    44    13     0     0     0
   16           0          0.0      0.0          24             4.7904             0         9.1257           12            6    43    12     0     0     0
   24           0          0.0      0.0          24             4.7904             0         9.0359           12            6    41    12     0     0     0
   30           0          0.0      0.0          24             4.7904             0         9.0140           12            5    59    12     0     0     0
   20           0          0.0      0.0          22             4.3912             0         9.0339           12            6    41    11     0     0     0
   25           0          0.0      0.0          22             4.3912             0         8.9880           12            5    45    11     0     0     0
   42           0          0.0      0.0          22             4.3912             0         8.9242           12            6    31    11     0     0     0
   18           0          0.0      0.0          20             3.9920             0         9.0978           12            6    59    10     0     0     0
   17           0          0.0      0.0          20             3.9920             0         9.0559           12            6    47    10     0     0     0
   10           0          0.0      0.0          20             3.9920             0         8.9880           12            6    44    10     0     0     0
   27           0          0.0      0.0          20             3.9920             0         8.9780           12            6    45    10     0     0     0
   14           0          0.0      0.0          20             3.9920             0         8.9581           12            5    38    10     0     0     0
   19           0          0.0      0.0          18             3.5928             0         9.0599           12            5    39     9     0     0     0
   22           0          0.0      0.0          18             3.5928             0         9.0399           12            6    48     9     0     0     0
   44           0          0.0      0.0          18             3.5928             0         9.0140           12            6    45     9     0     0     0
   41           0          0.0      0.0          18             3.5928             0         8.9860           12            6    53     9     0     0     0
   33           0          0.0      0.0          18             3.5928             0         8.9820           12            6    55     9     0     0     0
   46           0          0.0      0.0          18             3.5928             0         8.9581           12            6    31     9     0     0     0
   11           0          0.0      0.0          18             3.5928             0         8.9461           12            5    44     9     0     0     0
   40           0          0.0      0.0          18             3.5928             0         8.9441           12            6    42     9     0     0     0
   15           0          0.0      0.0          16             3.1936             0         9.1038           12            6    49     8     0     0     0
   51           0          0.0      0.0          16             3.1936             0         9.0719           12            6    54     8     0     0     0
   29           0          0.0      0.0          16             3.1936             0         9.0659           12            6    49     8     0     0     0
    7           0          0.0      0.0          16             3.1936             0         9.0599           12            6    50     8     0     0     0
   26           0          0.0      0.0          16             3.1936             0         9.0100           12            5    39     8     0     0     0
    8           0          0.0      0.0          16             3.1936             0         9.0060           12            5    48     8     0     0     0
   39           0          0.0      0.0          16             3.1936             0         8.9980           12            5    51     8     0     0     0
    4           0          0.0      0.0          16             3.1936             0         8.9900           12            5    46     8     0     0     0
   47           0          0.0      0.0          16             3.1936             0         8.9900           12            6    45     8     0     0     0
   37           0          0.0      0.0          16             3.1936             0         8.9780           12            5    42     8     0     0     0
   12           0          0.0      0.0          16             3.1936             0         8.9621           12            6    50     8     0     0     0
   13           0          0.0      0.0          16             3.1936             0         8.9182           12            6    38     8     0     0     0
    6           0          0.0      0.0          14             2.7944             0         9.0659           12            6    52     7     0     0     0
   28           0          0.0      0.0          12             2.3952             0         9.0200           12            6    51     6     0     0     0
   36           0          0.0      0.0          12             2.3952             0         9.0200           12            6    41     6     0     0     0
